Gc_kg_s,eta_ex_system,Power_total_W,T_water_mix_K,total_mdot_water_kg_s,warnings,Gc_norm_s1,n_s1,eta_s1,eps_s1,Pin_s1_bar,Pout_s1_bar,PR_s1,Tin_s1_K,Tout_s1_K,Power_s1_W,T_water_out_s1_K,H_water_s1_Jperkg,T_air_out_intercooler_s1_K,Gc_norm_s2,n_s2,eta_s2,eps_s2,Pin_s2_bar,Pout_s2_bar,PR_s2,Tin_s2_K,Tout_s2_K,Power_s2_W,T_water_out_s2_K,H_water_s2_Jperkg,T_air_out_intercooler_s2_K,Gc_norm_s3,n_s3,eta_s3,eps_s3,Pin_s3_bar,Pout_s3_bar,PR_s3,Tin_s3_K,Tout_s3_K,Power_s3_W,T_water_out_s3_K,H_water_s3_Jperkg,T_air_out_intercooler_s3_K,Gc_norm_s4,n_s4,eta_s4,eps_s4,Pin_s4_bar,Pout_s4_bar,PR_s4,Tin_s4_K,Tout_s4_K,Power_s4_W,T_water_out_s4_K,H_water_s4_Jperkg,T_air_out_intercooler_s4_K,Optimization_Success,Status,opt_n_stage1,opt_n_stage2,opt_n_stage4
14.05,0.842674,8350643.591,,,Success,1.385875,1.1,0.801845,3.998598,1.01325,3.66745,3.619491,298,477.08042,2548158.597,460.366512,795044.5852,307.616971,1.156348,1.055564,0.832847,3.767506,3.66745,13.494196,3.67945,307.616971,476.59444,2404764.816,460.906377,797439.5032,307.985306,0.996912,1,0.839992,3.23896,13.494196,43.428579,3.218315,307.985306,454.1661,2075654.191,445.181573,728183.7588,306.328497,0.993395,0.908004,0.831676,2.193875,43.428579,95.000005,2.1875,306.328497,399.810131,1322065.987,397.514342,523040.7996,305.771662,TRUE,Success,1.1,1.055564,0.908004
14,0.84339,8312641.159,,,Success,1.380943,1.1,0.802818,4.012712,1.01325,3.68448,3.636299,298,477.410314,2543822.58,460.680714,796438.2677,307.610034,1.146894,1.054995,0.833849,3.770451,3.68448,13.572991,3.683828,307.610034,476.504212,2394989.486,460.850032,797189.4848,307.966877,0.987568,1,0.839867,3.245934,13.572991,43.782051,3.225674,307.966877,454.478089,2073027.498,445.505602,729601.0754,306.346956,0.981897,0.904516,0.8325,2.176067,43.782051,94.999992,2.169839,306.346956,398.673239,1300801.597,396.420024,518392.7106,305.709889,TRUE,Success,1.1,1.054995,0.904516
13.95,0.844002,8275418.425,,,Success,1.376011,1.1,0.803784,4.026513,1.01325,3.701183,3.652783,298,477.727446,2539270.431,460.906741,797441.1184,307.557691,1.137544,1.054902,0.834811,3.778724,3.701183,13.670346,3.693508,307.557691,476.566321,2388040.563,460.906741,797441.1184,307.939797,0.97699,1,0.839534,3.252976,13.670346,44.198257,3.233148,307.939797,454.816417,2070877.513,445.857891,731142.4397,306.370181,0.969214,0.900579,0.833309,2.155474,44.198257,95,2.149406,306.370181,397.369866,1277229.918,395.163995,513060.337,305.639431,TRUE,Success,1.1,1.054902,0.900579
13.9,0.844518,8240146.807,,,Success,1.371079,1.099331,0.804613,4.028494,1.01325,3.7059,3.657438,298,477.62058,2528641.262,460.906741,797441.1184,307.577946,1.132061,1.054517,0.835313,3.778944,3.7059,13.691623,3.694548,307.577946,476.506637,2378338.822,460.898379,797404.0115,307.934243,0.971967,1,0.839301,3.256003,13.691623,44.311278,3.236379,307.934243,454.9845,2065946.487,446.034173,731913.8953,306.368616,0.963274,0.899118,0.833721,2.149918,44.311278,95,2.143924,306.368616,396.987553,1267220.236,394.800017,511515.6026,305.614449,TRUE,Success,1.099331,1.054517,0.899118
13.85,0.844982,8204857.423,,,Success,1.366147,1.09881,0.805467,4.032813,1.01325,3.712976,3.664423,298,477.597961,2519219.818,460.906395,797439.5808,307.557325,1.125802,1.05433,0.835874,3.782113,3.712976,13.732989,3.698647,307.557325,476.491309,2369842.362,460.90645,797439.8254,307.916092,0.965525,1,0.838929,3.259586,13.732989,44.497923,3.240221,307.916092,455.184029,2061628.32,446.244104,732832.755,306.372682,0.95579,0.897085,0.834172,2.140832,44.497923,94.999999,2.134931,306.372682,396.392424,1254166.923,394.229712,509095.6674,305.578818,TRUE,Success,1.09881,1.05433,0.897085
13.8,0.845414,8169715.265,,,Success,1.361215,1.098302,0.806319,4.037156,1.01325,3.720067,3.67142,298,477.576638,2509819.064,460.906688,797440.8835,307.536393,1.119561,1.053957,0.836385,3.7826,3.720067,13.764457,3.700056,307.536393,476.378359,2359967.051,460.826316,797084.257,307.893649,0.959805,1,0.838527,3.262487,13.764457,44.642956,3.24335,307.893649,455.351322,2056889.973,446.421707,733610.2444,306.373019,0.949246,0.895399,0.834549,2.133816,44.642956,95,2.127995,306.373019,395.925718,1243039.177,393.783749,507203.719,305.549545,TRUE,Success,1.098302,1.053957,0.895399
13.75,0.845826,8135390.605,,,Success,1.356283,1.097805,0.807168,4.041467,1.01325,3.727116,3.678378,298,477.554704,2500411.944,460.906469,797439.9118,307.515399,1.113357,1.053907,0.836875,3.786732,3.727116,13.80934,3.705101,307.515399,476.414646,2352209.654,460.880986,797326.8333,307.877561,0.953194,1,0.837975,3.265509,13.80934,44.833889,3.246635,307.877561,455.559702,2052634.426,446.640209,734566.9356,306.377504,0.941786,0.89337,0.834922,2.124663,44.833889,94.999999,2.118933,306.377504,395.332645,1230134.581,393.215168,504792.0645,305.513876,TRUE,Success,1.097805,1.053907,0.89337
13.7,0.846209,8101397.344,,,Success,1.351351,1.097319,0.808014,4.045768,1.01325,3.734145,3.685314,298,477.532947,2491009.603,460.906442,797439.7878,307.494372,1.107182,1.053805,0.83732,3.789825,3.734145,13.850305,3.709097,307.494372,476.418321,2343988.791,460.906173,797438.5967,307.859969,0.946892,1,0.837358,3.268061,13.850305,45.005675,3.249436,307.859969,455.755839,2048206.646,446.846267,735469.3025,306.380318,0.934784,0.891509,0.83524,2.11649,45.005675,95.000003,2.110845,306.380318,394.80209,1218192.304,392.707065,502637.3831,305.481282,TRUE,Success,1.097319,1.053805,0.891509
13.65,0.846568,8064785.732,,,Success,1.346419,1.096846,0.808856,4.050065,1.01325,3.741159,3.692237,298,477.511643,2481615.87,460.906741,797441.1183,307.473259,1.101035,1.051904,0.83765,3.7708,3.741159,13.808494,3.690966,307.473259,475.564356,2323747.728,460.156092,794111.491,307.80542,0.946209,1,0.837285,3.268318,13.808494,44.873736,3.24972,307.80542,455.697813,2040657.842,446.798483,735260.0345,306.35581,0.934073,0.891997,0.835362,2.122688,44.873736,95.000004,2.117051,306.35581,395.14017,1218764.292,393.041249,504054.4886,305.492455,TRUE,Success,1.096846,1.051904,0.891997
13.6,0.846921,8028035.644,,,Success,1.341487,1.096383,0.809695,4.054314,1.01325,3.748116,3.699103,298,477.489291,2472209.762,460.906357,797439.4111,307.452193,1.094929,1.049817,0.83795,3.749569,3.748116,13.757901,3.670618,307.452193,474.625887,2302414.375,459.329134,790446.3005,307.747113,0.94612,1,0.837276,3.268351,13.757901,44.709827,3.249756,307.747113,455.613042,2032782.813,446.723987,734933.7983,306.328421,0.934022,0.892736,0.835465,2.130448,44.709827,95.000007,2.124813,306.328421,395.571269,1220628.695,393.46567,505854.5135,305.508175,TRUE,Success,1.096383,1.049817,0.892736
