Gc_kg_s,eta_ex_system,Power_total_W,T_water_mix_K,total_mdot_water_kg_s,warnings,Gc_norm_s1,n_s1,eta_s1,eps_s1,Pin_s1_bar,Pout_s1_bar,PR_s1,Tin_s1_K,Tout_s1_K,Power_s1_W,T_water_out_s1_K,H_water_s1_Jperkg,T_air_out_intercooler_s1_K,Gc_norm_s2,n_s2,eta_s2,eps_s2,Pin_s2_bar,Pout_s2_bar,PR_s2,Tin_s2_K,Tout_s2_K,Power_s2_W,T_water_out_s2_K,H_water_s2_Jperkg,T_air_out_intercooler_s2_K,Gc_norm_s3,n_s3,eta_s3,eps_s3,Pin_s3_bar,Pout_s3_bar,PR_s3,Tin_s3_K,Tout_s3_K,Power_s3_W,T_water_out_s3_K,H_water_s3_Jperkg,T_air_out_intercooler_s3_K,Gc_norm_s4,n_s4,eta_s4,eps_s4,Pin_s4_bar,Pout_s4_bar,PR_s4,Tin_s4_K,Tout_s4_K,Power_s4_W,T_water_out_s4_K,H_water_s4_Jperkg,T_air_out_intercooler_s4_K,Optimization_Success,Status,opt_n_stage1,opt_n_stage2
13.25,0.842191,7824445.058,,,Success,1.306964,1.093473,0.815443,4.083436,1.01325,3.79591,3.746272,298,477.33432,2406452.845,460.905154,797434.0732,307.303196,1.053064,0.984079,0.836332,2.986791,3.79591,11.060379,2.913762,307.303196,441.520862,1796360.47,429.364584,659431.1254,306.094861,1.143501,1,0.826771,3.037081,11.060379,33.29084,3.009919,306.094861,444.17227,1847123.745,435.507104,686035.3532,305.159756,1.219782,1,0.812729,2.863249,33.29084,94.999999,2.853638,305.159756,437.435558,1774507.998,433.923844,679166.978,307.152413,TRUE,Success,1.093473,0.984079
13.2,0.842653,7788277.808,,,Success,1.302032,1.093107,0.816244,4.087523,1.01325,3.802625,3.752899,298,477.313676,2397088.531,460.906453,797439.8407,307.281799,1.047201,0.98223,0.836687,2.972677,3.802625,11.029356,2.900459,307.281799,440.764489,1779675.561,428.691655,656523.396,306.042726,1.142292,1,0.826966,3.039455,11.029356,33.224287,3.01235,306.042726,444.177114,1840900.125,435.520524,686093.6055,305.142387,1.217578,1,0.813176,2.868931,33.224287,95,2.859354,305.142387,437.628343,1770613.592,434.118461,680010.826,307.149261,TRUE,Success,1.093107,0.98223
13.15,0.843112,7752251.804,,,Success,1.2971,1.092751,0.817037,4.091534,1.01325,3.809253,3.759441,298,477.2916,2387707.082,460.906504,797440.0659,307.260304,1.041383,0.980395,0.837023,2.958705,3.809253,10.998407,2.887287,307.260304,440.016294,1763178.296,428.025921,653648.0384,305.990981,1.141071,1,0.827161,3.041843,10.998407,33.157957,3.014796,305.990981,444.182855,1834677.803,435.534813,686155.63,305.12503,1.215358,1,0.813625,2.874616,33.157957,95,2.865074,305.12503,437.820449,1766688.623,434.312461,680852.1197,307.146024,TRUE,Success,1.092751,0.980395
13.1,0.843567,7716363.781,,,Success,1.292168,1.092407,0.817824,4.095503,1.01325,3.815829,3.76593,298,477.269346,2378325.566,460.906429,797439.7321,307.23876,1.035599,0.978572,0.837337,2.944847,3.815829,10.967532,2.87422,307.23876,439.274934,1746848.791,427.366171,650799.7696,305.939569,1.139837,1,0.827357,3.044245,10.967532,33.091854,3.017256,305.939569,444.189415,1828456.427,435.549901,686221.1214,305.107684,1.213121,1,0.814075,2.880304,33.091854,94.999998,2.870797,305.107684,438.011859,1762732.997,434.505828,681690.7846,307.142702,TRUE,Success,1.092407,0.978572
13.05,0.844017,7680612.689,,,Success,1.287236,1.092075,0.818604,4.099439,1.01325,3.822361,3.772377,298,477.247302,2368949.201,460.906575,797440.3805,307.21718,1.029847,0.976759,0.837632,2.931094,3.822361,10.936731,2.86125,307.21718,438.540053,1730681.005,426.712087,647977.1733,305.888476,1.138589,1,0.827555,3.04666,10.936731,33.025981,3.019731,305.888476,444.196778,1822235.866,435.565772,686290.012,305.090348,1.210867,1,0.814526,2.885994,33.025981,94.99999,2.876523,305.090348,438.202557,1758746.618,434.698547,682526.7529,307.139293,TRUE,Success,1.092075,0.976759
13,0.844463,7645003.056,,,Success,1.282304,1.091751,0.819376,4.103273,1.01325,3.82878,3.778712,298,477.22312,2359546.665,460.904839,797432.6786,307.195476,1.024145,0.974962,0.837905,2.917502,3.82878,10.906008,2.848429,307.195476,437.81429,1714710.021,426.066073,645190.5778,305.837821,1.137328,1,0.827753,3.049089,10.906008,32.960345,3.022219,305.837821,444.205111,1816016.75,435.582583,686362.988,305.073027,1.208595,1,0.814978,2.891687,32.960345,94.999999,2.882251,305.073027,438.392548,1754729.621,434.890624,683360.0547,307.135801,TRUE,Success,1.091751,0.974962
12.95,0.844905,7609527.642,,,Success,1.277372,1.091443,0.820141,4.107101,1.01325,3.835184,3.785032,298,477.200276,2350164.434,460.904335,797430.4423,307.173778,1.018467,0.973173,0.838158,2.903991,3.835184,10.875363,2.835682,307.173778,437.093913,1698883.407,425.424746,642425.3366,305.78744,1.136052,1,0.827953,3.051531,10.875363,32.894947,3.024722,305.78744,444.21419,1809798.105,435.600125,686439.1351,305.055713,1.206306,1,0.815431,2.897382,32.894947,95,2.887982,305.055713,438.581795,1750681.697,435.082022,684190.5237,307.132222,TRUE,Success,1.091443,0.973173
12.9,0.845343,7574184.537,,,Success,1.27244,1.091151,0.820898,4.110962,1.01325,3.841611,3.791376,298,477.18021,2340821.367,460.906355,797439.4043,307.152137,1.012801,0.971388,0.83839,2.890532,3.841611,10.844796,2.822981,307.152137,436.377488,1683180.743,424.786804,639675.8127,305.737271,1.134763,1,0.828153,3.053988,10.844796,32.829791,3.027239,305.737271,444.223931,1803579.587,435.618322,686518.1292,305.038404,1.203999,1,0.815885,2.903078,32.829791,95,2.893713,305.038404,438.770285,1746602.84,435.272729,685018.1109,307.128556,TRUE,Success,1.091151,0.971388
12.85,0.845777,7538981.682,,,Success,1.267508,1.090868,0.821646,4.114718,1.01325,3.847923,3.797604,298,477.158165,2331454.346,460.906635,797440.6451,307.130378,1.007185,0.969619,0.838599,2.877233,3.847923,10.814311,2.810428,307.130378,435.670224,1667671.943,424.156992,636962.4144,305.687547,1.133459,1,0.828354,3.056458,10.814311,32.764882,3.029771,305.687547,444.234656,1797362.348,435.637474,686601.2666,305.02111,1.201674,1,0.81634,2.908774,32.764882,95.000001,2.899446,305.02111,438.958017,1742493.045,435.462746,685842.8156,307.124804,TRUE,Success,1.090868,0.969619
12.8,0.846205,7503917.023,,,Success,1.262576,1.090596,0.822384,4.118392,1.01325,3.854141,3.803741,298,477.135034,2322075.391,460.905974,797437.712,307.108533,1.001612,0.967864,0.838786,2.864073,3.854141,10.783908,2.798006,307.108533,434.971219,1652343.296,423.534495,634281.5782,305.638231,1.13214,1,0.828557,3.058942,10.783908,32.700224,3.032317,305.638231,444.246315,1791146.123,435.657533,686688.3426,305.003829,1.199332,1,0.816797,2.914471,32.700224,95,2.905179,305.003829,439.144974,1738352.213,435.652054,686664.5589,307.120965,TRUE,Success,1.090596,0.967864
