Gc_kg_s,eta_ex_system,Power_total_W,T_water_mix_K,total_mdot_water_kg_s,warnings,Gc_norm_s1,n_s1,eta_s1,eps_s1,Pin_s1_bar,Pout_s1_bar,PR_s1,Tin_s1_K,Tout_s1_K,Power_s1_W,T_water_out_s1_K,H_water_s1_Jperkg,T_air_out_intercooler_s1_K,Gc_norm_s2,n_s2,eta_s2,eps_s2,Pin_s2_bar,Pout_s2_bar,PR_s2,Tin_s2_K,Tout_s2_K,Power_s2_W,T_water_out_s2_K,H_water_s2_Jperkg,T_air_out_intercooler_s2_K,Gc_norm_s3,n_s3,eta_s3,eps_s3,Pin_s3_bar,Pout_s3_bar,PR_s3,Tin_s3_K,Tout_s3_K,Power_s3_W,T_water_out_s3_K,H_water_s3_Jperkg,T_air_out_intercooler_s3_K,Gc_norm_s4,n_s4,eta_s4,eps_s4,Pin_s4_bar,Pout_s4_bar,PR_s4,Tin_s4_K,Tout_s4_K,Power_s4_W,T_water_out_s4_K,H_water_s4_Jperkg,T_air_out_intercooler_s4_K,Optimization_Success,Status,opt_n_stage1
13.65,0.838294,8119633.876,,,Success,1.346419,1.096394,0.808773,4.04251,1.01325,3.733504,3.684682,298,477.242977,2477854.79,460.666424,796374.8763,307.462995,1.103275,1,0.83264,3.109789,3.733504,11.311136,3.02963,307.462995,448.104329,1940184.949,435.221672,684796.5325,306.536116,1.152736,1,0.825253,3.018541,11.311136,33.830903,2.990938,306.536116,444.179256,1897019.496,435.443462,685759.1156,305.299648,1.236829,1,0.809202,2.817966,33.830903,95,2.808083,305.299648,435.871061,1804574.641,432.346838,672333.453,307.174633,TRUE,Success,1.096394
13.6,0.838603,8084466.232,,,Success,1.341487,1.094817,0.80941,4.028292,1.01325,3.721749,3.673081,298,476.563564,2459298.713,460.077724,793764.0196,307.416622,1.102622,1,0.832724,3.11086,3.721749,11.279862,3.030796,307.416622,448.072509,1933270.491,435.206979,684732.7689,306.515596,1.151659,1,0.825433,3.020738,11.279862,33.762732,2.993187,306.515596,444.224093,1890967.655,435.493675,685977.0652,305.283695,1.234754,1,0.809637,2.823602,33.762732,95,2.813753,305.283695,436.070793,1800929.374,432.547845,673204.0416,307.172212,TRUE,Success,1.094817
13.55,0.838913,8049355.44,,,Success,1.336556,1.093242,0.810044,4.014098,1.01325,3.710009,3.661494,298,475.885185,2440827.899,459.489689,791157.6652,307.370273,1.101962,1,0.832808,3.111941,3.710009,11.248646,3.031973,307.370273,448.041027,1926358.984,435.192621,684670.4611,306.495066,1.150571,1,0.825614,3.022949,11.248646,33.694757,2.99545,306.495066,444.2693,1884914.509,435.544271,686196.6841,305.26773,1.232664,1,0.810074,2.829245,33.694757,95,2.81943,305.26773,436.269921,1797254.047,432.748308,674072.3902,307.169707,TRUE,Success,1.093242
13.5,0.839224,8014301.509,,,Success,1.331624,1.091668,0.810675,3.999929,1.01325,3.698284,3.649922,298,475.20786,2422442.452,458.902341,788555.8862,307.323949,1.101293,1,0.832894,3.113032,3.698284,11.217488,3.033161,307.323949,448.009889,1919450.452,435.178605,684609.6388,306.474525,1.14947,1,0.825797,3.025175,11.217488,33.62698,2.997728,306.474525,444.314881,1878860.025,435.595252,686417.9821,305.251753,1.230559,1,0.810513,2.834895,33.62698,95,2.825112,305.251753,436.468433,1793548.58,432.948212,674938.446,307.167118,TRUE,Success,1.091668
13.45,0.839535,7979304.455,,,Success,1.326692,1.090096,0.811305,3.985785,1.01325,3.686574,3.638366,298,474.531609,2404142.477,458.315701,785958.7579,307.277651,1.100616,1,0.83298,3.114132,3.686574,11.18639,3.034359,307.277651,447.979104,1912544.918,435.164939,684550.3323,306.453975,1.148358,1,0.82598,3.027415,11.18639,33.559404,3.000021,306.453975,444.360838,1872804.171,435.64662,686640.9694,305.235764,1.228438,1,0.810953,2.84055,33.559404,95,2.830801,305.235764,436.666315,1789812.889,433.147547,675802.1559,307.164444,TRUE,Success,1.090096
13.4,0.839847,7944364.297,,,Success,1.32176,1.088526,0.811931,3.971666,1.01325,3.674881,3.626825,298,473.856456,2385928.083,457.729789,783366.3582,307.231383,1.099931,1,0.833067,3.115243,3.674881,11.155352,3.035569,307.231383,447.948677,1905642.405,435.151628,684492.5722,306.433415,1.147234,1,0.826165,3.029669,11.155352,33.492033,3.002329,306.433415,444.407171,1866746.913,435.698378,686865.6557,305.219762,1.226301,1,0.811394,2.84621,33.492033,95,2.836495,305.219762,436.863556,1786046.897,433.346301,676663.4661,307.161685,TRUE,Success,1.088526
13.35,0.840158,7909481.058,,,Success,1.316828,1.086957,0.812556,3.957572,1.01325,3.663203,3.6153,298,473.18242,2367799.382,457.14463,780778.767,307.185146,1.099238,1,0.833154,3.116363,3.663203,11.124376,3.036789,307.185146,447.918618,1898742.936,435.138682,684436.3896,306.412844,1.146098,1,0.82635,3.031937,11.124376,33.424871,3.004651,306.412844,444.453883,1860688.217,435.750527,687092.0511,305.203748,1.224148,1,0.811837,2.851875,33.424871,95,2.842195,305.203748,437.060141,1782250.523,433.54446,677522.3222,307.158842,TRUE,Success,1.086957
13.3,0.840471,7874654.768,,,Success,1.311896,1.08539,0.813177,3.943505,1.01325,3.651542,3.603792,298,472.509526,2349756.493,456.560244,778196.0671,307.138943,1.098535,1,0.833242,3.117493,3.651542,11.093463,3.038021,307.138943,447.888933,1891846.536,435.126105,684381.8161,306.392265,1.144948,1,0.826537,3.03422,11.093463,33.357919,3.006989,306.392265,444.500976,1854628.048,435.80307,687320.1656,305.187722,1.221979,1,0.812281,2.857546,33.357919,95,2.847899,305.187722,437.256058,1778423.691,433.742012,678378.6695,307.155913,TRUE,Success,1.08539
13.25,0.840783,7839885.461,,,Success,1.306964,1.083824,0.813796,3.929464,1.01325,3.639898,3.5923,298,471.837797,2331799.537,455.976656,775618.3435,307.092775,1.097824,1,0.83333,3.118634,3.639898,11.062614,3.039265,307.092775,447.859631,1884953.229,435.113907,684328.8839,306.371675,1.143786,1,0.826725,3.036517,11.062614,33.291183,3.009342,306.371675,444.548452,1848566.371,435.856009,687550.0089,305.171684,1.219793,1,0.812727,2.86322,33.291183,95,2.853608,305.171684,437.451293,1774566.325,433.938945,679232.4527,307.152898,TRUE,Success,1.083824
13.2,0.841096,7805173.176,,,Success,1.302032,1.08226,0.814411,3.915449,1.01325,3.628271,3.580825,298,471.167256,2313928.639,455.393889,773045.684,307.046645,1.097103,1,0.83342,3.119785,3.628271,11.03183,3.04052,307.046645,447.830718,1878063.038,435.102095,684277.6255,306.351077,1.142611,1,0.826914,3.038829,11.03183,33.224665,3.011709,306.351077,444.596313,1842503.15,435.909347,687781.591,305.155633,1.217591,1,0.813174,2.868899,33.224665,95,2.859322,305.155633,437.645834,1770678.349,434.135247,680083.6162,307.149797,TRUE,Success,1.08226
